x,y
18.54,40.98
37.46,55.63
9.54,62.55
26.73,43.95
22.58,37.11
27,45.47
21.74,63
28.55,39.86
41.42,49.35
10.1,38.88
23.68,51.17
22.29,52.33
18.41,23.49
33.92,68.23
9.7,37.91
29.14,57.39
23.64,39.7
20.02,57.71
23.33,45.05
32.29,50.81
19.68,38.57
31.4,38.62
20.3,51.01
15.11,28.61
47.93,54.18
28.84,15.48
38.92,50.35
14.99,60.03
50.62,49.31
14.29,33.82
10.2,49.48
33.64,36.13
29.66,46.95
30.65,70.24
31.05,22.61
35.86,60.04
43.09,62.84
32.46,54.17
34.1,49.46
13.33,44.23
29.65,33.47
33.94,40.05
29.03,27.63
20.3,56.45
24.87,62.3
20.93,40.53
26.27,42.5
46.24,32.49
37.34,64.25
22.82,36.77
46.43,49.98
23.91,58.57
7.93,52.28
24.3,60.84
25.77,48.99
18.95,40.49
16.65,51.34
26.64,63.67
28.5,43.3
39.71,66.44
6.42,55.02
25.81,43.04
43.23,51.32
28.28,46.49
5.13,49.28
15.99,39.64
23.92,67.63
22,49.3
36.47,48.61
24.27,35.09
8.13,37.82
19.27,9.82
44.23,46.91
24.59,49.83
16.98,26.32
8.53,43.18
22.42,72.97
20.58,61.4
284.75,38.1
288.52,21.96
281.19,17.77
269.69,20.03
273.94,26.43
264.12,12.5
263.59,3.79
264.22,4.06
282.37,39.71
283.66,27.31
268.95,15.07
276.95,25.64
264.34,0.03
286.5,37.29
252.73,21.67
283.31,9.03
253.97,11.56
269.35,21.89
260.69,26.17
268.7,23.97
260.94,7.37
264.05,11
241.12,9.6
264.87,7.54
265.92,9.89
288.66,33.77
283.05,32.75
259.94,2.65
265.04,11.08
271.26,20.03
261.87,25.13
257.03,9
279.04,23.43
263.16,9.81
273.29,27.93
267.91,6.69
256.04,0.62
269.95,8.14
260.89,6.64
258.55,12.49
270.5,13.99
259.54,13.67
258.61,7.95
277.47,19.66
275.97,17.48
270.13,22.31
281.16,23.64
289.6,35.29
260.95,19.4
260.75,5.77
278.18,15.55
273.49,15.16
280.54,18.22
271.28,22.57
274.6,11.43
262.89,21.7
266.86,15.91
278.05,23.63
249.51,14.26
285.75,14.4
263.61,27.18
274.43,24.05
276.07,23.8
283.34,19.82
254.61,17.16
267.48,14.45
248.67,22.26
279.96,22.14
284.62,20.71
265.12,4.78
288.78,45.04
266.87,22.18
265.88,18.96
257.08,6.78
254.66,18.44
271.41,18.79
273.18,30.06
245.38,8.44
264.51,25.86
277.81,27.17
271.31,33.78
253.09,7.1
268.65,13.72
275.17,20.45
274.45,15.78
268.58,9.03
281.04,25.51
272.43,11.5
283.63,23.29
269.96,27.97
256.4,12.97
257.97,4.94
280.32,20.33
263.55,16.34
286.92,19.41
272.79,29.77
280.57,18.88
261.58,11.6
283.07,42.76
274.29,19.5
262.09,6.39
283.13,32.25
271.57,14.6
265.97,16.81
261.12,7.82
260.98,3.38
262.67,9.83
265.87,26.79
276.33,18.41
270.6,24.61
273.71,26.13
264.27,14.37
289.84,23.45
260.04,16.84
261.41,20.24
261.83,18.33
266.4,19.23
287.96,27.11
270.67,13.15
250.76,18.45
267.19,19.69
268.3,15.88
274.32,25.07
285.59,27.82
259.33,8.4
254.87,9.53
248.99,3.32
262.71,13.1
284.86,27.85
276.45,19.77
262.12,24.95
273.2,19.72
262.36,14.78
278.96,30.97
275.58,24.88
250.74,5.38
250.34,5.51
248.95,14.4
254.26,14.04
280.57,16.71
271.49,11.75
262.87,15.65
260.22,4.47
256.27,19.94
274.59,6.66
285.06,36.15
251.09,8.78
273.32,16.88
283.14,38.58
265.07,22.02
263.17,4.4
280.29,31.95
251.52,2.02
274.16,4.98
278.04,12.58
286.64,36.55
257.54,11.78
279.57,8.45
260.71,6.72
276.76,18.79
259.95,12.21
266.15,25.19
256.92,22.73
272.37,11.01
278.27,21.37
258.15,11.48
255.15,6.95
265.71,2.96
266.63,13.16
286.64,20.9
257.52,3.93
261.23,19.69
269.52,14.51
284.6,10.78
273.88,12.5
282.23,37.95
284.13,22.33
271.28,26.5
266.66,21.11
275.98,14.53
260.07,27.97
281.15,23.9
273.67,16.82
270.8,21.54
279.41,24.26
270.75,10.3
265.85,14.95
257.34,14.48
253.47,19.62
272.5,26.75
254.92,9.84
274.41,26.36
273.84,9
267.18,12.55
269.91,15.49
263.47,14.81
272.9,23.17
273.41,2.52
262.3,13.08
274.14,30.35
270.06,31.06
268.81,19.93
265.99,18.71
282.45,29.53
275.13,20.22
277.7,28.55
268.54,2.07
277.43,37.03
265.86,10.45
287.77,23.97
249.39,4.33
262.83,5.44
258.56,17.37
277.72,25.83
285.13,29.21
269.55,12.32
270.74,4.4
289.3,29.21
241.93,27.26
268.89,12.48
281.22,37.51
275.83,35.43
264.33,17.62
275.26,8.02
277.12,26.94
276.36,1.16
254.36,5.63
279.59,29.7
273.82,14.53
250.85,13.41
286.29,24.42
276.35,14.16
252.13,7.11
277.88,17.66
275.3,15.12
282,18.09
260.61,6.32
279.91,34.35
264.34,15.41
266.01,13.62
